E.,Sigle,Site.,SiteName,LatDD,LonDD,Elevation,PolDiv1,Name,Responsible,Age model,Use,Upper depth,Lower depth
1467,OVSA,1176,Oberderdingen-Gro_villars,49.0425,8.760278,207,DEU,Germany,Thomas,1,N,,
1468,OVSC1,1176,Oberderdingen-Gro_villars,49.0425,8.760278,207,DEU,Germany,Thomas,2,Y,,
1469,MERZDORF,1177,Merzdorf,51.4,13.533333,100,DEU,Germany,Thomas,1,Y,,
1470,ADR309,1178,ADR309,41.818333,17.19,-929,MES,Mediterranean Sea,Simon,1,N,,
1471,ADR353,1179,ADR353,42.12,17.633056,-1207,MES,Mediterranean Sea,Simon,1,N,,
1472,MD952039,1180,MD95-2039,40.578333,-10.348333,-3381,ATO,Atlantic Ocean,Simon,1,N,,
1473,MD952043,1181,MD95-2043,36.143333,-2.621111,-1841,MES,Mediterranean Sea,Simon,1,N,,
1474,MD992348,1182,MD99-2348 (103),42.692778,3.841667,-296,MES,Mediterranean Sea,Simon,1,N,,
1475,PRGL14,1183,PRGL 1-4,42.689722,3.8375,-299,MES,Mediterranean Sea,Simon,1,N,,
1476,FANGEAS,1184,Fangeas,44.716111,6.449444,2000,FRA,France,Simon,2,Y,,40
1477,HUZ1,1185,Huzenbacher See,48.574444,8.348056,747,DEU,Germany,Thomas,1,N,,
1478,HUZ2,1185,Huzenbacher See,48.574444,8.348056,747,DEU,Germany,Thomas,2,Y,,
1479,ORTA3,1186,Ortasee,45.816667,8.4,290,ITA,Italy,Simon,1,N,,
1480,ORTA4,1186,Ortasee,45.816667,8.4,290,ITA,Italy,Simon,1,N,,
1481,ORTA5,1186,Ortasee,45.816667,8.4,290,ITA,Italy,Simon,1,N,,
1482,BIBERACH,1187,Biberach,48.115,9.767778,579,DEU,Germany,Thomas,1,N,,
1483,PRD4,1188,PRD-4,42.533333,-8.516667,260,ESP,Spain,Simon,2,Y,,
1484,ABIARE,1189,Abiare,37.15,9.1,110,TUN,Tunisia,Simon,1,N,,
1485,BMTIRBOG,1190,Beni M'tir,36.716667,8.7,663,TUN,Tunisia,Simon,1,N,,
1486,BMTIRMAR,1190,Beni M'tir,36.716667,8.7,663,TUN,Tunisia,Simon,1,N,,
1487,DARFATMA,1191,Dar Fatma,36.816667,8.766667,780,TUN,Tunisia,Simon,1,N,,
1488,KEFEDDBA,1192,Kef Eddba_,36.666667,8.35,800,TUN,Tunisia,Simon,1,N,,
1489,MAJENHMI,1193,Majen Ben H'mida,37.133333,9.083333,330,TUN,Tunisia,Simon,1,N,,
1490,MAJORBOG,1194,Majen El Orbi,37.15,9.083333,200,TUN,Tunisia,Simon,1,N,,
1491,MAJORMAR,1194,Majen El Orbi,37.15,9.083333,200,TUN,Tunisia,Simon,1,N,,
1492,OUINETEN,1195,Ouinet Ennessours,36.6,8.4,1050,TUN,Tunisia,Simon,1,N,,
1493,FATMA4,1191,Dar Fatma,36.816667,8.766667,780,TUN,Tunisia,Simon,1,N,,
1494,FATMA3,1191,Dar Fatma,36.816667,8.766667,780,TUN,Tunisia,Simon,1,N,,
1495,GHORRA01,1196,Djebel El Ghorra,36.5975,8.394722,1203,TUN,Tunisia,Simon,1,N,,
1496,GHORRA04,1196,Djebel El Ghorra,36.5975,8.394722,1203,TUN,Tunisia,Simon,1,N,,
1497,ORBI1,1194,Majen El Orbi,37.15,9.083333,200,TUN,Tunisia,Simon,1,N,,
1498,MHIRIS,1197,Mhiris el Hamrane,36.795556,8.784444,550,TUN,Tunisia,Simon,1,N,,
1499,ARAGO,1198,Caune de l'Arago,42.839167,2.750556,200,FRA,France,Simon,1,N,,
1500,BOURDIM,1199,Bourdim,36.803333,8.253889,13,DZA,Algeria,Simon,1,N,,
1501,GARATOUE,1200,Garaat El-Ouez,36.818333,8.333333,45,DZA,Algeria,Simon,1,N,,
1502,ESTEBAN,1201,San Esteban del valle,40.319167,-4.966389,1600,ESP,Spain,Simon,1,N,,
1503,BABIDOL,1202,Babi DÊl,54.294167,18.310833,187,POL,Poland,Simon,1,N,,
1504,STMOMES2,1203,Saint-Momelin,50.794167,2.251667,2,FRA,France,Simon,2,N,,
1505,WATENP12,1204,Watten,50.833611,2.213333,2,FRA,France,Simon,1,Y,2000,
1506,WATTENS1,1204,Watten,50.833611,2.213333,2,FRA,France,Simon,2,Y,,1500
X1,VOULK,X1,Lake Voulkaria,38.87,20.83,0,GRC,Greece,Thomas,2,N,,
X10,GGFHM,X10,Georgenfelder Hochmoor,50.75,13.75,860,DEU,Germany,Thomas,1,N,,
X11,ODER,X11,Oder valley,53.06,14.13,10,DEU,Germany,Thomas,2,N,,
X12,KREBSS,X12,Krebssee,52.85,14.1,5,DEU,Germany,Thomas,1,Y,,
X13,UECKER,X13,Ueckersee,52,14.2,3.1,DEU,Germany,Thomas,1,N,,
X14,AHLEQUEL,X14,Ahlequellmoor ,51.73,9.51,300,DEU,Germany,Thomas,2,N,,
X15,KMOCH,X15,Kleiner Mochowsee,53.24,13.86,10,DEU,Germany,Thomas,2,N,,
X16,LODDIG,X16,L_è_ddigsee ,53.43,11.85,43,DEU,Germany,Thomas,2,N,,
X17,WEISSEN,X17,Weissenstadter Forst,50.14,11.88,725,DEU,Germany,Thomas,1,N,,
X18,RAPPERS,X18,Rappershausen ,50.38,10.39,383,DEU,Germany,Thomas,1,N,,
X2,BOKAN,X2,Bokanjacko Blato,44.18,15.23,25,HRV,Croatia,Thomas,1,N,,230
X3,LUEDER,X3,Luederholz,51.68,10.31,228,DEU,Germany,Thomas,1,N,,
X4,SILBER,X4,Silberhohl ,51.91,10.18,180,DEU,Germany,Thomas,2,N,,
X5,LUTTER,X5,Luttersee,51.58,10.16,164,DEU,Germany,Thomas,2,N,,
X6,BRUCH,X6,Bruchberg,51.76,10.46,825,DEU,Germany,Thomas,2,N,,
X7,SONNEN,X7,Sonnenberger Moor,51.77,10.52,780,DEU,Germany,Thomas,2,N,,
X8,HANCZA,X8,Hancza ,54.27,22.82,229,POL,Poland,Thomas,2,N,,
X9,MFM,X9,Meerfelder Maar,50.1,6.75,336,DEU,Germany,Thomas,1,Y,,
X19,SVARCEN,X19,Svarcenberg ,49.15,14.7,420,CZE,Czech Republic,Walter,2,Y,,
5017,FORDMOSS,5017,Ford_Moss,55.66,-2.21,50,GBR,United Kingdom,Basil,1,Y,,
51001,ACEBRON,51001,El Acebron,37.12,-6.5,25,ESP,Spain,Basil,2,Y,,
51005,MADRES-2,51005,Laguna de las Madres II,37.15,-6.83,3,ESP,Spain,Basil,2,Y,,
51007,MEDINA,51007,Laguna Medina,36.62,-6.05,30,ESP,Spain,Basil,2,Y,,310
51009,TREMEDAL,51009,Orihuela del Tremedal,40.54,-2.05,1650,ESP,Spain,Basil,2,Y,,
51019,TIGALM,51019,Tigalmamine,32.9,-5.35,1626,MOR,Morocco,Basil,1,N,,270
54095,IMOLA-CS,54095,Imola-CSG50-Csogle,47.23,17.23,100,HUN,Hungary,Basil,1,Y,,495
54096,IMOLA-PE,54096,Imola-PEB88-Poloske,46.76,16.93,150,HUN,Hungary,Basil,1,Y,,
54099,IMOLA-ZV,54099,Imola-ZV63,46.65,17.22,104,HUN,Hungary,Basil,1,N,,
