E.,Sigle,Site.,SiteName,LatDD,LonDD,Elevation,PolDiv1,Name,Responsible,Age model,Use,Upper depth,Lower depth
973,TSHM-2,830,Sredna Gora Mountains Peat Bog,42.83,24.83,1300,BGR,Bulgaria,Basil,1,Y,,
974,VINDERH,831,Vinderhoute,51.08,3.62,4,BEL,Belgium,Thomas,1,Y,1200,
975,VRACOV1,589,Vracov,48.98,17.2,192,CZE,Czech Republic,Walter/Basil,2,Y,0,270
976,XINIAS,832,Lake Xinias,39.05,22.27,500,GRC,Greece,Basil,1,Y,,
977,YENICAGA,833,Yeni_è_aga G_è_l_è_,40.78,32.03,1006.39,TUR,Turkey,Basil,1,Y,,
978,SCHWEMD3,634,Schwemm,47.65,12.3,664,AUT,Austria,Walter,2,Y,0,850
979,ABANT,834,Abant G_è_l_è_,40.6,31.28,1398.65,TUR,Turkey,Basil,1,Y,,
980,AE3,51,Aegelsee,46.65,7.54,989,CHE,Switzerland,Walter,2,Y,0,856.5
981,AKGOL,835,Akg_è_l Adabag,37.5,33.73,1006.05,TUR,Turkey,Basil,1,Y,,
982,ANNA,836,Tourbi_è_re de Santa Anna,45.86,7.65,2304,ITA,Italy,Walter,1,Y,0,145
983,BBURN3,837,Bigholm Burn,55.12,-3.07,160,GBR,United Kingdom,Thomas,1,N,,
985,BOGROOS,839,The Bog [Roos],53.73,-0.07,5,GBR,United Kingdom,Thomas,1,Y,,
986,OYKJA,38,Vestre Oykjamyrtorn,59.82,6,570,NOR,Norway,Thomas,2,Y,,810
987,TRETTE,39,Trettetjorn,60.72,7,810,NOR,Norway,Thomas,2,Y,,
988,BISOCA,840,Bisoca,45.53,26.67,900,ROU,Romania,Basil,1,Y,,
989,LUCI,841,Luci,46.27,25.75,1079,ROU,Romania,Basil,1,N,,
990,STIOL3,842,Poiana Stiol,47.58,24.82,1540,ROU,Romania,Basil,1,N,,
991,FOULA6B,843,Foula,60.15,-2.1,170,GBR,United Kingdom,Thomas,2,Y,,
992,LAX,844,Loch Laxford,58.37,-5,97.9,GBR,United Kingdom,Thomas,2,Y,,
993,BISKUP4,845,Biskupinskie Lake,52.78,17.73,80,POL,Poland,Thomas,2,Y,,
994,DRUZ2,846,Jezioro Druzno,54.12,19.47,-1,POL,Poland,Thomas,2,Y,,
995,GLEBOCZ,847,Gleboczek Lake,52.65,17.63,95,POL,Poland,Thomas,2,Y,,
996,GODZISZ,848,Godziszewskie Lake,54.09,18.55,71,POL,Poland,Thomas,2,Y,,
997,BOZEJEW,849,Bozejewice,52.68,18.23,87,POL,Poland,Thomas,1,N,,
998,MSUSZEK,850,Maly Suszek,53.73,17.77,115,POL,Poland,Thomas,2,Y,,
999,RUDNICK,851,Rudnickie Male,53.43,18.75,23,POL,Poland,Thomas,2,Y,,
1000,STRAZ,852,Strazym Lake,53.33,19.46,71,POL,Poland,Thomas,2,Y,,
1001,FLAJE,853,Flaje Kiefern,50.7,13.53,760,CZE,Czech Republic,Walter/Basil,2,Y,0,340
1002,SLAWSKO,854,Slawsko,52.67,18.25,80,POL,Poland,Thomas,1,Y,,
1003,DRUZ1,846,Jezioro Druzno,54.12,19.47,-1,POL,Poland,Thomas,1,N,,
1004,MUKRZ1,855,Mukrz,53.52,18.12,103,POL,Poland,Thomas,2,N,,
1005,MUKRZ2,855,Mukrz,53.52,18.12,103,POL,Poland,Thomas,2,N,,
1006,WOLB,856,Wolbrom,50.38,19.77,375,POL,Poland,Thomas,2,Y,,
1007,DURY1,857,Dury,53.64,18.36,95,POL,Poland,Thomas,1,Y,,
1008,SWIETO,858,Swietokrzyskie Lake,52.54,17.6,103,POL,Poland,Thomas,2,Y,,
1009,SICIE,859,Sicienko,53.17,16,69,POL,Poland,Thomas,2,Y,,
1010,ZAWA,860,Zawada,53.62,18.58,74,POL,Poland,Thomas,2,N,,
1011,ZABIJAK,861,Zabijak,53.58,18.45,95.75,POL,Poland,Thomas,2,N,,
1012,OSTROWIT,862,Ostrowite,53.79,17.6,121,POL,Poland,Thomas,2,Y,,
1015,STFRONTA,865,Saint Front Lake,44.98,4.17,1234,FRA,France,Simon,1,N,,215
1019,AC4HOLO,867,Lago dell'Accesa,42.99,10.88,157,ITA,Italy,Walter,2,Y,0,1249
1020,AC4LATE,867,Lago dell'Accesa,42.99,10.88,157,ITA,Italy,Walter,2,Y,0,1249
1021,JAMMERTA,868,Jammertal,48.1,9.73,578,DEU,Germany,Thomas,2,Y,,
1022,HIPPER,869,Hipper Sick,53.2158,-1.542,335,GBR,United Kingdom,Thomas,1,Y,,
1024,BREITNAU,871,Breitnau-Neuhof,47.93,8.07,986,DEU,Germany,Thomas,2,Y,,
1025,GDU,872,Durchenbergried,47.78,8.98,432,DEU,Germany,Thomas,2,Y,,510
1026,FEUENRIE,873,Feuenried,47.75,8.92,407,DEU,Germany,Thomas,2,Y,,
1027,HOB,874,Hornstaad/Bodensee,47.7,9.02,385,DEU,Germany,Thomas,2,Y,,
1028,STEERMOS,875,Steerenmoos,47.8,8.2,1000,DEU,Germany,Thomas,2,Y,,
1029,WAGENBOD,876,Wangen/Bodensee,47.67,8.93,395,DEU,Germany,Thomas,2,Y,,
1030,NUSS1,877,Nussbaumer Seen,47.62,8.83,434,CHE,Switzerland,Walter,1,N,,
1031,NUSS4,877,Nussbaumer Seen,47.62,8.83,434,CHE,Switzerland,Walter,2,Y,0,850
1032,NUSS8,877,Nussbaumer Seen,47.62,8.83,434,CHE,Switzerland,Walter,1,N,,
1033,ABBO,878,Abborrtj_è_rnen,63.88,14.45,387,SWE,Sweden,Thomas,2,Y,,
1034,HOLT,879,Holtj_è_rnen,60.65,14.92,232,SWE,Sweden,Thomas,2,Y,,
1035,KLOT,880,Klotj_è_rnen,61.82,16.53,235,SWE,Sweden,Thomas,2,Y,,800
1036,STYG,881,Styggtj_è_rnen,62.32,13.57,715,SWE,Sweden,Thomas,2,Y,,
1037,TREPPEL,882,Grosser Treppelsee,52.15,14.45,52,DEU,Germany,Thomas,2,Y,,
1038,RAC20,866,Lake Racou,42.55,2.01,2000,FRA,France,Simon,1,Y,,
1039,FATE,883,Lago delle Fate,44.27,7.1,2130,ITA,Italy,Walter,2,Y,0,280
1040,MONDOVI,884,Refugio Mondovi,44.18,7.73,1760,ITA,Italy,Walter,2,Y,0,420
1041,ORGIALS,885,Laghi dell'Orgials,44.23,7.13,2240,ITA,Italy,Walter,1,Y,0,370
1042,BIECAI,886,Torbiera del Biecai,44.2,7.7,1920,ITA,Italy,Walter,2,Y,0,260
1043,KOZLI,887,Kozli,49.38,14.03,460,CZE,Czech Republic,Walter/Basil,1,Y,0,140
1044,GORSFAWR,888,Gors Fawr Bog,51.93,-4.72,190,GBR,United Kingdom,Thomas,1,Y,,200
1045,BH2,889,Lake Urmia II,37.79,45.38,1265,IRN,Iran Islamic Republic of,,1,Y,,
1048,BEGBUNAR,890,Peat-bog Begbunar,42.15,22.55,1750,BGR,Bulgaria,Basil,2,Y,,
1050,CUAII,891,Montes do Buio Cuadram_è_n,43.47,-7.53,700,ESP,Spain,Basil,1,Y,,
1051,LUITEL,892,Col Luitel,45.09,5.85,1250,FRA,France,Simon,1,Y,,
1052,TORBENOV,893,Novienky peat bog,52.24,54.75,197,RUS,Russia,Thomas,1,Y,,
1054,COULVAIN,895,Coulvain,49.07,-0.72,145,FRA,France,Simon,1,Y,,
1055,AELBI,896,_è_lbi Flue,46.36,7.58,1850,CHE,Switzerland,Walter,2,Y,0,33
1056,ALETSW,897,Aletschwald,46.388611,8.02455,2017,CHE,Switzerland,Walter,2,Y,0,435
1057,ALETSW1,897,Aletschwald,46.388611,8.02455,2017,CHE,Switzerland,Walter,1,N,,
1058,ALETSW2,897,Aletschwald,46.388611,8.02455,2017,CHE,Switzerland,Walter,1,N,,
1059,ALETSCHW,897,Aletschwald,46.388611,8.02455,2017,CHE,Switzerland,Walter,2,Y,1.5,32
1060,AMBY80,58,Hi_è_res sur Amby,45.79,5.28,410,FRA,France,Simon,0,Y,,
1061,BACHALP,898,Bachalpsee,46.669389,8.021456,2265,CHE,Switzerland,Walter,2,Y,1,1000
1062,BALDEGG,899,Baldeggersee,47.17,8.28,463,CHE,Switzerland,Walter,1,Y,0,40
1063,BASR,900,La Grande Basse,48.05,6.95,945,FRA,France,Simon,2,Y,,
1064,BELALP1,901,Alp L_è_sga Belalp 1,46.23,7.59,2330,CHE,Switzerland,Walter,2,Y,0,162
1065,BELALP2,902,Alp L_è_sga Belalp 2,46.23,7.58,2290,CHE,Switzerland,Walter,2,Y,0,145
1066,BEVERA,903,Lago di B_è_vera,45.8514,8.893319,325,ITA,Italy,Walter,1,Y,0,21
1067,BIBER,904,Bibersee,47.13,8.28,429,CHE,Switzerland,Walter,2,Y,0,650
1068,BITSCH3,905,Bitsch-Naters,46.2,7.59,1030,CHE,Switzerland,Walter,2,Y,30,628
1069,BODMEN1,906,Bodmen Alp Bel,46.21,7.58,1970,CHE,Switzerland,Walter,1,N,,
1070,BODMEN2,906,Bodmen Alp Bel,46.21,7.58,1970,CHE,Switzerland,Walter,1,N,,
1071,BODMEN3,906,Bodmen Alp Bel,46.21,7.58,1970,CHE,Switzerland,Walter,1,N,,
1072,BRETAYE,907,Lac de Bretaye,46.326203,7.072456,1780,CHE,Switzerland,Walter,1,Y,1,30
1073,BUNSCHLE,908,Untere Bunschleren Boltigen,46.36,7.25,1680,CHE,Switzerland,Walter,1,N,,
1074,CINUSKEL,909,Cinuskel,46.38,10.01,1615,CHE,Switzerland,Walter,1,N,,
1075,CLAP68,147,Clapeyret,44.15,7.24,2260,FRA,France,Simon,1,Y,,
1076,DOSSAC1,910,Dossaccio Bormio,46.28,10.2,1730,ITA,Italy,Walter,1,N,,
1077,DOSSAC2,910,Dossaccio Bormio,46.28,10.2,1730,ITA,Italy,Walter,1,N,,
1078,DOSSAC3,910,Dossaccio Bormio,46.28,10.2,1730,ITA,Italy,Walter,1,N,,
1079,DOSSACC,910,Dossaccio Bormio,46.28,10.2,1730,ITA,Italy,Walter,2,Y,0,920
1080,EGGEN,911,Eggen ob Blatten,46.22,7.59,1645,CHE,Switzerland,Walter,2,Y,12,425
1081,EGGEN2,911,Eggen ob Blatten,46.22,7.59,1645,CHE,Switzerland,Walter,1,N,,
1082,EGGEN3,911,Eggen ob Blatten,46.22,7.59,1645,CHE,Switzerland,Walter,1,N,,
1083,EGGEN56,911,Eggen ob Blatten,46.22,7.59,1645,CHE,Switzerland,Walter,1,N,,
1084,GRUERE,912,Etang de la Gru_è_re,47.24,7.05,1005,CHE,Switzerland,Walter,2,Y,,
1086,EGR2A,912,Etang de la Gru_è_re,47.24,7.05,1005,CHE,Switzerland,Walter,2,Y,,
1087,FELDD2,913,Feld Alp Holzmatten,46.39,8,2130,CHE,Switzerland,Walter,1,Y,195,240
1088,GAENSEMO,914,G_è_nsemoos Schwarzenburg,46.5,7.21,795,CHE,Switzerland,Walter,2,Y,0,600
1089,GAMPERF,915,Gamperfin,47.1,9.23,1320,CHE,Switzerland,Walter,2,Y,0,490
1090,GANNA,916,Lago di Ganna,45.896333,8.826222,452,ITA,Italy,Walter,2,Y,0,22
1091,GERZEN,917,Gerzensee,46.829597,7.546106,603,CHE,Switzerland,Walter,1,Y,0,24
1092,GONDO,918,Gondo Alpjen,46.12,8.06,1635,CHE,Switzerland,Walter,2,Y,0,470
1093,GIORGIO,919,Monte San Giorgio,45.91,8.95,990,CHE,Switzerland,Walter,1,Y,0,30
1094,GRAECH51,920,Gr_è_chen See,46.12,7.5,1710,CHE,Switzerland,Walter,1,N,,
1095,GRAECHEN,920,Gr_è_chen See,46.12,7.5,1710,CHE,Switzerland,Walter,2,Y,0,1102
1096,GREICH2,921,Greicheralp Riederalp,46.22,8.01,1910,CHE,Switzerland,Walter,2,Y,0,440
1097,GRINDJI,922,Grindjisee,46.011397,7.791089,2334,CHE,Switzerland,Walter,1,Y,0,13
1098,HAGELSEE,923,Hagelseeli,46.672914,8.035869,2339,CHE,Switzerland,Walter,1,Y,0,34.3
1099,GRUNSEE,924,Gr_è_nsee Reschenscheideck,46.52,10.29,1836,ITA,Italy,Walter,2,Y,0,585
1100,HANGSTLI,925,H_è_ngstli,46.47,7.5,1260,CHE,Switzerland,Walter,2,Y,0,460
1101,HELLELEN,926,Mittlere Hellelen,46.17,7.5,1520,CHE,Switzerland,Walter,1,N,,
1102,ZENEGGEN,926,Mittlere Hellelen,46.17,7.5,1520,CHE,Switzerland,Walter,2,Y,0,840
1103,HILAIRE1,927,Saint Hilaire du Rosier,45.15,5.32,190,FRA,France,Simon,1,Y,,
1104,HILAIRE2,927,Saint Hilaire du Rosier,45.15,5.32,190,FRA,France,Simon,1,Y,,
1105,HINTERB,928,Hinterburgseeli,46.43,8.04,1510,CHE,Switzerland,Walter,2,Y,0,1523
1106,ILFUORN,929,Il Fuorn,46.39,10.12,1805,CHE,Switzerland,Walter,1,N,,
1107,STRALDZA,930,Straldzha mire,42.63,26.78,150,BGR,Bulgaria,Basil,2,Y,,
1108,LACDAI,931,Lac d'A_è_,46.363744,7.004633,1891,CHE,Switzerland,Walter,1,Y,0,17
1109,LAINAIR,932,Lai Nair Schuls-Tarasp,46.78,10.31,1546,CHE,Switzerland,Walter,2,Y,0,650
1110,LEYSIN,933,Leysin Les L_è_chi_è_res,46.21,7.01,1255,CHE,Switzerland,Walter,2,Y,165,370
1111,LINDEN,934,Linden,46.51,7.41,900,CHE,Switzerland,Walter,2,Y,0,1300
1112,LL160A,332,Lobsigensee,47.03,7.3,514,CHE,Switzerland,Walter,1,N,,
1113,LQ120,332,Lobsigensee,47.03,7.3,514,CHE,Switzerland,Walter,1,N,,
1114,LQ150E,332,Lobsigensee,47.03,7.3,514,CHE,Switzerland,Walter,1,N,,
1116,LQ170D,332,Lobsigensee,47.03,7.3,514,CHE,Switzerland,Walter,1,N,,
1118,LQ80,332,Lobsigensee,47.03,7.3,514,CHE,Switzerland,Walter,1,N,,
1120,JUFPLAN,935,Juf Plan,46.63,10.26,2225,CHE,Switzerland,Walter,2,Y,0,67
1121,HOPSTOP,936,Hopschensee,46.252419,8.023475,2017,CHE,Switzerland,Walter,2,Y,0,54
1122,HOPSCHEN,936,Hopschensee,46.252419,8.023475,2017,CHE,Switzerland,Walter,2,Y,0,600
1123,HOPSCH1,936,Hopschensee,46.252419,8.023475,2017,CHE,Switzerland,Walter,1,N,,
1124,CHUTTI4,937,Chutti Boltigen,46.38,7.23,925,CHE,Switzerland,Walter,1,N,,
1125,CHUTTI3,937,Chutti Boltigen,46.38,7.23,925,CHE,Switzerland,Walter,1,N,,
1126,CHUTTI,937,Chutti Boltigen,46.38,7.23,925,CHE,Switzerland,Walter,2,Y,488,650
1127,LUISSEL,938,Etang de Luissel Bex,46.14,7.01,540,CHE,Switzerland,Walter,2,Y,65,472
1128,MACUN,939,Macun Val Zeznina ob Zernez,46.42,10.05,2617,CHE,Switzerland,Walter,1,N,,
