,pvar,pvarcode,pvarname,cutoff,use
1033,2655,Cis.m,Cistus monspeliensis,0.005,1
1034,2951,Cis.m-T,Cistus monspeliensis-type,0.005,1
1035,2663,Cis.p-T,Cistus populifolius-type,0.005,1
1036,2952,Cis.p,Cistus psilosepalus,0.005,1
1037,2605,Cis.s,Cistus salvifolius,0.005,1
1038,1404,Cis.ud,Cistus undiff.,0.005,1
1039,2111,Cis.v-T,Cistus villosus-type,0.005,1
1040,3286,Cis-T,Cistus-type,0.005,1
1041,3298,Cis-T.ud,Cistus-type undiff.,0.005,1
1042,2116,Cis/Hel,Cistus/Helianthemum,0.005,1
1043,197,Cit,Citrus,0.005,1
1044,3045,Cla,Cladium,0.005,1
1045,199,Cla.m,Cladium mariscus,0.005,1
1046,1123,Cld-T,Cladium-type,0.005,1
1047,2300,Cldra,Cladocera,0.005,1
1048,3082,Cla-T/D,Clavatum-type/Diphasium,0.005,1
1049,1103,Cle,Clematis,0.005,1
1050,1567,Clm-T,Clematis-type,0.005,1
1051,2904,Clo.cf.r,Closterium cf. C. rostratum,0.005,1
1052,2903,Clo.i,Closterium idiosporum,0.005,1
1053,2899,Clo.i-T,Closterium idiosporum-type,0.005,1
1054,2345,Clos.ud,Closterium undiff.,0.005,1
1055,1881,Cni,Cnicus,0.005,1
1056,2918,Coc.v,Cochlopodum vestitum,0.005,1
1057,3499,Coe,Coelastrum,0.005,1
1058,1285,Coe.r,Coelastrum reticulatum,0.005,1
1059,200,Col,Colchicum,0.005,1
1060,3214,Col.a,Colchicum autumnale,0.005,1
1061,2587,Col.a-T,Colchicum autumnale-type,0.005,1
1062,1273,Col-T,Colchicum-type,0.005,1
1063,1774,Col/Mer,Colchicum/Merendera,0.005,1
1064,1896,Cte,Colutea,0.005,1
1065,3688,Com,Comarum,0.005,1
1066,3109,Com.p,Comarum palustre,0.005,1
1067,3523,Com-T,Comarum-type,0.005,1
1068,3614,Comeae,Combretaceae,0.005,1
1069,1068,Compae,Compositae,0.005,1
1070,201,Cm.Sf.A,Compositae Subfam. Asteroideae,0.005,1
1071,202,Cm.Sf.Au,Compositae Subfam. Asteroideae undiff.,0.005,1
1072,203,Cm.Sf.C,Compositae Subfam. Cichorioideae,0.005,1
1073,204,Cm.Sf.Cu,Compositae Subfam. Cichorioideae undiff.,0.005,1
1074,1047,Comae.ud,Compositae undiff.,0.005,1
1075,3412,conc.m,concentration markers,0.005,1
1076,3058,c.spk...,Concentration of spike,0.005,1
1077,2953,c.pol..,Concentration pollen,0.005,1
1078,2603,conc.spk,Concentration spikes,0.005,1
1079,3529,Con.ind.,Coniferae indeterminable,0.005,1
1080,3649,Con.stom,Coniferae: stomata,0.005,1
1081,3315,Cno,Coniochaeta,0.005,1
1082,3316,Con.cf.l,Coniochaeta cf. ligniairia,0.005,1
1083,2787,Con.m,Conium maculatum,0.005,1
1084,2882,Coi-T,Conium-type,0.005,1
1085,2954,Cop.m,Conopodium majus,0.005,1
1086,205,Con-T,Conopodium-type,0.005,1
1087,1903,Cns,Consolida,0.005,1
1088,1973,Con.a-T,Consolida ambigua-type,0.005,1
1089,3166,Cns-T,Consolida-type,0.005,1
1090,206,Cov,Convallaria,0.005,1
1091,3632,Cov.m,Convallaria majalis,0.005,1
1092,2093,Cvr-T,Convallaria-type,0.005,1
1093,207,Conae,Convolvulaceae,0.005,1
1094,3608,Conae.ud,Convolvulaceae undiff.,0.005,1
1095,208,Con,Convolvulus,0.005,1
1096,1179,Con.a,Convolvulus arvensis,0.005,1
1097,3318,Cnv.a-T,Convolvulus arvensis-type,0.005,1
1098,209,Con.ud,Convolvulus undiff.,0.005,1
1099,1618,Cov-T,Convolvulus-type,0.005,1
1100,3076,Cop,Copepoda,0.005,1
1101,1405,Crm.a,Corema album,0.005,1
1102,3340,Coria,Coriaria,0.005,1
1103,1452,Cor.f,Coriaria myrtifolia,0.005,1
1104,2503,Cornacae,Cornaceae,0.005,1
1105,2411,Cac,Cornulaca,0.005,1
1106,210,Crn,Cornus,0.005,1
1107,2233,Cor.cf.s,Cornus cf. C. suecica,0.005,1
1108,1145,Cor.m,Cornus mas,0.005,1
1109,1970,Cor.m-T,Cornus mas-type,0.005,1
1110,2405,Cor.ms,Cornus mas/C. sanguinea,0.005,1
1111,1465,Cor.m.s,Cornus mas/C. suecica,0.005,1
1112,211,Crn.s,Cornus sanguinea,0.005,1
1113,212,Crn.s-T,Cornus sanguinea-type,0.005,1
1114,3605,Cor.Sg.K,Cornus Subgen. Kraniopsis,0.005,1
1115,213,Crn.u,Cornus suecica,0.005,1
1116,214,Crn.u-T,Cornus suecica-type,0.005,1
1117,3600,Cor.ud,Cornus undiff.,0.005,1
1118,2955,Cou-T,Cornus-type,0.005,1
1119,2408,Coa,Coronilla,0.005,1
1120,215,Coo.e,Coronilla emerus,0.005,1
1121,2956,Coa-T,Coronilla-type,0.005,1
1122,2656,Coo,Corrigiola,0.005,1
1123,216,Cod,Corydalis,0.005,1
1124,1180,Cor.c,Corydalis claviculata,0.005,1
1125,2115,Cor.l-T,Corydalis lutea-type,0.005,1
1126,2055,Cor.s-T,Corydalis solida-type,0.005,1
1127,2339,Coroid,Corylo_d,0.005,1
1128,3027,Cryoid,Coryloideae,0.005,1
1129,217,Cor,Corylus,0.02,1
1130,218,Cor.a,Corylus avellana,0.02,1
1131,3327,Cor.a-T,Corylus avellana-type,0.02,1
1132,2616,Cor.x,Corylus maxima,0.02,1
1133,219,Cor-T,Corylus-type,0.02,1
1134,220,Cor/Myr,Corylus/Myrica,0.02,1
1135,2957,Coi,Cosmarium,0.005,1
1136,1769,Cot,Cotinus coggygria,0.005,1
1137,221,Cot-T,Cotinus-type,0.005,1
1138,222,Ctt,Cotoneaster,0.005,1
1139,1723,Cos-T,Cotoneaster-type,0.005,1
1140,2908,Count.ex,Counted exote,0.005,1
1141,1556,Cos,Cousinia,0.005,1
1142,223,Cou,Cousinia-type,0.005,1
1143,1971,Crs,Crassula,0.005,1
1144,224,Cra.a,Crassula aquatica,0.005,1
1145,225,Craae,Crassulaceae,0.005,1
1146,226,Ctg,Crataegus,0.005,1
1147,227,Ctg-T,Crataegus-type,0.005,1
1148,1721,Cra/Sor,Crataegus/Sorbus,0.005,1
1149,1443,Cre,Crepis,0.005,1
1150,3543,Cre.a,Crepis aurea,0.005,1
1151,3542,Cre.p,Crepis paludosa,0.005,1
1152,2121,Cre-T,Crepis-type,0.005,1
1153,1772,Cro,Crocus,0.005,1
1154,2933,Cro.l,Crocus longiflorus,0.005,1
1155,1808,Crz,Crozophora,0.005,1
1156,228,Cru,Cruciferae,0.005,1
1157,1181,Cru.ud,Cruciferae undiff.,0.005,1
1158,1064,Cru-T,Cruciferae-type,0.005,1
1159,1906,Cin,Crupina,0.005,1
1160,3254,Cup-T,Crupina-type,0.005,1
1161,3197,Cry,Cryptogramma,0.005,1
1162,919,Crp.c,Cryptogramma crispa,0.005,1
1163,2727,Cucureae,Cucurbitaceae,0.005,1
1164,229,Cupae,Cupressaceae,0.005,1
1165,2861,Cupres-T,Cupressaceae-type,0.005,1
1166,2358,Cup,Cupressus,0.005,1
1167,230,Cus,Cuscuta,0.005,1
1168,3490,Cus.e,Cuscuta europaea,0.005,1
1169,1919,Cus.e-T,Cuscuta europaea-type,0.005,1
1170,3383,Cus.g-T,Cuscuta gronovii-type,0.005,1
1171,3115,Cus.l,Cuscuta lupuliformis,0.005,1
1172,1776,Cyc,Cyclamen,0.005,1
1173,3510,Cyc.h,Cyclamen hederifolium,0.005,1
1174,3243,Cyc.p,Cyclamen purpurascens,0.005,1
1175,2925,Cym.d,Cymbaria daurica,0.005,1
1176,231,Cyn,Cynoglossum,0.005,1
1177,3377,Cyn.c-T,Cynoglossum creticum-type,0.005,1
1178,3071,Cyn.o-T,Cynoglossum officinale-type,0.005,1
1179,232,Cyn-T,Cynoglossum-type,0.005,1
1180,233,Cypae,Cyperaceae,0.005,1
1181,1012,Cyp.ud,Cyperaceae undiff.,0.005,1
1182,234,Cpy,Cyperus,0.005,1
1183,3343,Cyp.c,Cyperus capitatus,0.005,1
1184,2113,Cyp.l-T,Cyperus longus-type,0.005,1
1185,3244,Cyp-T,Cyperus-type,0.005,1
1186,3198,Cyph.amp,Cyphoderia ampulla,0.005,1
1187,1182,Cys,Cystopteris,0.005,1
1188,914,Cys.f,Cystopteris fragilis,0.005,1
1189,915,Cys.f-T,Cystopteris fragilis-type,0.005,1
1190,2745,Cys.m-T,Cystopteris montana-type,0.005,1
1191,917,Cys.ud,Cystopteris undiff.,0.005,1
1192,916,Cys-T,Cystopteris-type,0.005,1
1193,3276,Cti,Cytinus,0.005,1
1194,3277,Cyt.h,Cytinus hypocistis,0.005,1
1195,1887,Cyt,Cytisus,0.005,1
1196,1340,Cyt.g,Cytisus grandiflorus,0.005,1
1197,235,Cyt.s,Cytisus scoparius,0.005,1
1198,1482,Cyt.s-T,Cytisus scoparius-type,0.005,1
1199,1002,Cyy.Se.S,Cytisus Sect. Sarothamnus,0.005,1
1200,2828,Cyt-T,Cytisus-type,0.005,1
1201,3672,Cyt/GenT,Cytisus/Genista-type,0.005,1
1202,236,Dac-T,Dactylis-type,0.005,1
1203,237,Dap,Daphne,0.005,1
1204,3305,Dap.g-T,Daphne gnidium-type,0.005,1
1205,1360,Dap.m,Daphne mezereum,0.005,1
1206,238,Dap.s,Daphne sericea,0.005,1
1207,1972,Dap/Thy,Daphne/Thymeleaea,0.005,1
1208,2054,Das,Datisca,0.005,1
1209,239,Dat,Datisca cannabina,0.005,1
1210,2066,Dar,Datura,0.005,1
1211,3352,Dauceae,Daucaceae,0.005,1
1212,2210,Dau,Daucus,0.005,1
1213,1699,Dau.c,Daucus carota,0.005,1
1214,240,Dau-T,Daucus-type,0.005,1
1215,2142,Deb,Debarya,0.005,1
1216,2169,Deb.s,Debarya sp.,0.005,1
1217,1853,Del,Delphinium,0.005,1
1218,241,Del-T,Delphinium-type,0.005,1
1219,2472,Del/Aco,Delphinium/Aconitum,0.005,1
1220,3507,Dep.tim.,Deposition time (Cal yr BP),0.005,1
1221,1263,Der.s,Derived spores,0.005,1
1222,3538,Desc,Deschampsia,0.005,1
1223,2061,Des,Descurainia,0.005,1
1224,2162,Deseae,Desmidiaceae,0.005,1
1225,242,Dia,Dianthus,0.005,1
1226,2788,Dia.l-T,Dianthus lusitanicus-type,0.005,1
1227,2094,Dia.s-T,Dianthus superbus-type,0.005,1
1228,243,Dia-T,Dianthus-type,0.005,1
1229,3381,Dia/Pet,Dianthus/Petroraghia,0.005,1
1230,244,Dpi,Diapensia lapponica,0.005,1
1231,1140,Dicotyle,Dicotyledones,0.005,1
1232,2508,Dic,Dicranum,0.005,1
1233,245,Dig,Digitalis,0.005,1
1234,246,Dig.p,Digitalis purpurea,0.005,1
1235,1969,Dig.p-T,Digitalis purpurea-type,0.005,1
1236,247,Dig-T,Digitalis-type,0.005,1
1237,2302,Dinofl,Dinoflagellates,0.005,1
1238,2958,Dic-T,Dipcadi-type,0.005,1
1239,3051,Dipt,Diphasiastrum,0.005,1
1240,3041,Dipt.a,Diphasiastrum alpinum,0.005,1
1241,3601,Dipt.c,Diphasiastrum complanatum,0.005,1
1242,3532,Dipt.c-T,Diphasiastrum complanatum-type,0.005,1
1243,2557,Dip.y,Diphasiastrum tristachyum,0.005,1
1244,3641,Diph-T,Diphasiastrum-type,0.005,1
1245,1613,Dip,Diphasium,0.005,1
1246,920,Dip.a,Diphasium alpinum,0.005,1
1247,1078,Dip.a-T,Diphasium alpinum-type,0.005,1
1248,1612,Dip.a/c,Diphasium alpinum/D. complanatum,0.005,1
1249,921,Dip.cf.a,Diphasium cf. D. alpinum,0.005,1
1250,1349,Dip.c,Diphasium complanatum,0.005,1
1251,922,Dip.c-T,Diphasium complanatum-type,0.005,1
1252,2462,Dip.c.t,Diphasium complanatum/D. tristachyum,0.005,1
1253,2239,Dip.t,Diphasium tristachyum,0.005,1
1254,1622,Dip-T,Diphasium-type,0.005,1
1255,2293,Dio,Diporotheca,0.005,1
1256,248,Dipae,Dipsacaceae,0.005,1
1257,1717,Dipae.u,Dipsacaceae undiff.,0.005,1
1258,249,Dps,Dipsacus,0.005,1
1259,3289,Dip.f-T,Dipsacus fullonum-type,0.005,1
1260,250,Dps-T,Dipsacus-type,0.005,1
1261,3441,Drn,Doronicum,0.005,1
1262,2119,Dor-T,Doronicum-type,0.005,1
1263,2728,Dor,Dorycnium,0.005,1
1264,2376,Dor.h,Dorycnium hirsutum,0.005,1
1265,2767,Doc-T,Dorycnium-type,0.005,1
1266,251,Dra-T,Draba-type,0.005,1
1267,3700,Dre.leav,Drepanocladus: leaves,0.005,1
1268,252,Dro,Drosera,0.005,1
1269,1420,Dro.a,Drosera anglica,0.005,1
1270,1183,Dro.cf.i,Drosera cf. D. intermedia,0.005,1
1271,253,Dro.cf.r,Drosera cf. D. rotundifolia,0.005,1
1272,254,Dro.i,Drosera intermedia,0.005,1
1273,3269,Dro.i-T,Drosera intermedia-type,0.005,1
1274,1011,Dro.r,Drosera rotundifolia,0.005,1
1275,255,Dro.r-T,Drosera rotundifolia-type,0.005,1
1276,1801,Dro.r/a,Drosera rotundifolia/D. anglica,0.005,1
1277,2835,Dro.ud,Drosera undiff.,0.005,1
1278,256,Droae,Droseraceae,0.005,1
1279,3682,Dry,Dryas,0.005,1
1280,258,Dry.o,Dryas octopetala,0.005,1
1281,259,Dry-T,Dryas-type,0.005,1
1282,923,Drp,Dryopteris,0.005,1
1283,1376,Dry.c,Dryopteris carthusiana,0.005,1
1284,924,Drp.c-T,Dryopteris carthusiana-type,0.005,1
1285,3642,Dry.cf.c,Dryopteris cf. D. cristata,0.005,1
1286,2566,Dry.z,Dryopteris crassirhizoma,0.005,1
1287,2560,Dry.i,Dryopteris cristata,0.005,1
1288,1702,Dry.c-T,Dryopteris cristata-type,0.005,1
1289,925,Drp.d,Dryopteris dilatata,0.005,1
1290,2906,Dry.d-T,Dryopteris dilatata-type,0.005,1
1291,2959,Dry.f-f,Dryopteris filix-femina,0.005,1
1292,926,Drp.f,Dryopteris filix-mas,0.005,1
1293,2461,Dry.fm.s,Dryopteris filix-mas s.s.,0.005,1
1294,927,Drp.f-T,Dryopteris filix-mas-type,0.005,1
1295,2565,Dry.f,Dryopteris fragrans,0.005,1
1296,2514,Dry.p,Dryopteris oreopteris,0.005,1
1297,3101,Dry.s,Dryopteris spinulosa,0.005,1
1298,3088,Dry.t,Dryopteris thelypteris,0.005,1
1299,2598,Dry.u,Dryopteris undiff.,0.005,1
1300,928,Drp-T,Dryopteris-type,0.005,1
1301,3104,Dry-T.sp,Dryopteris-type: sporandium,0.005,1
1302,3237,Dry-T.so,Dryopteris-type: Sporangium,0.005,1
1303,260,Dul-T,Dulichium-type,0.005,1
1304,2432,Dus.f,Duschekia fruticosa,0.005,1
1305,2890,Dya,Dyadosporites,0.005,1
1306,1858,Ecp-T,Echinophora-type,0.005,1
1307,261,Eop,Echinops,0.005,1
1308,2932,Eci-T,Echinops-type,0.005,1
1309,262,Ech,Echium,0.005,1
1310,2040,Ech.v,Echium vulgare,0.005,1
1311,263,Ech-T,Echium-type,0.005,1
1312,1470,Ech/Ono,Echium/Onosma,0.005,1
1313,1543,Ele,Elaeagnus,0.005,1
1314,264,Ela,Elatine,0.005,1
1315,2231,Ela-T,Elatine-type,0.005,1
1316,1077,Ely,Elymus,0.005,1
1317,265,Ely-T,Elymus-type,0.005,1
1318,1820,Eme,Emex,0.005,1
1319,2489,Empeae,Empetraceae,0.005,1
1320,266,Emp,Empetrum,0.005,1
1321,267,Emp.cf.n,Empetrum cf. E. nigrum,0.005,1
1322,268,Emp.n,Empetrum nigrum,0.005,1
1323,269,Emp.n.h,Empetrum nigrum ssp. hermaphroditum,0.005,1
1324,2487,Emp.n.Sh,Empetrum nigrum Subsp. hermaphroditum,0.005,1
1325,3029,Emp.n-T,Empetrum nigrum-type,0.005,1
1326,270,Emp-T,Empetrum-type,0.005,1
1327,1951,Enc,Encalypta,0.005,1
1328,1143,Enc.r,Encalypta rhabdocarpa,0.005,1
1329,3296,End,Endymion,0.005,1
1330,271,Eng,Engelhardtia,0.005,1
1331,2173,Ent.l,Entophlyctis lobata,0.005,1
1332,272,Eph,Ephedra,0.005,1
1333,2427,Epd.cf.d,Ephedra cf. E. distachya,0.005,1
1334,2428,Eph.cf.f,Ephedra cf. E. fragilis,0.005,1
1335,2268,Eph.cf.c,Ephedra cf. E. fragilis ssp. campylopoda,0.005,1
1336,2443,Eph.cf.s,Ephedra cf. E. strobilacea,0.005,1
1337,273,Eph.d,Ephedra distachya,0.005,1
1338,2330,Eph.dh-T,Ephedra distachya Subsp. helvetica-type,0.005,1
1339,2870,Eph.d-n,Ephedra distachya-nebrodensis,0.005,1
1340,274,Eph.d-T,Ephedra distachya-type,0.005,1
1341,275,Eph.f,Ephedra fragilis,0.005,1
1342,1296,Epe.f.c,Ephedra fragilis ssp. campylopoda,0.005,1
1343,1615,Eph.fc-T,Ephedra fragilis ssp. campylopoda-type,0.005,1
1344,276,Eph.f-T,Ephedra fragilis-type,0.005,1
1345,2518,Eph.j,Ephedra major,0.005,1
1346,1957,Eph.m,Ephedra monosperma,0.005,1
1347,1672,Eph.s,Ephedra strobilacea,0.005,1
1348,1255,Eph.s-T,Ephedra strobilaceae-type,0.005,1
1349,277,Eph.ud,Ephedra undiff.,0.005,1
1350,3361,Epheae,Ephedraceae,0.005,1
1351,278,Epl,Epilobium,0.005,1
1352,1342,Epi.a,Epilobium angustifolium,0.005,1
1353,1733,Epi.a-T,Epilobium angustifolium-type,0.005,1
1354,3086,Epl.Cf.a,Epilobium cf. angustifolium,0.005,1
1355,3582,Epi.f,Epilobium fleischeri,0.005,1
1356,2836,Epi.ud,Epilobium undiff.,0.005,1
1357,279,Epl-T,Epilobium-type,0.005,1
1358,1432,Epi/Scr,Epilobium/Scrophulariaceae,0.005,1
1359,3530,Epim,Epimedium,0.005,1
1360,2067,Epi,Epipactis,0.005,1
1361,2025,Epi.p,Epipactis palustris,0.005,1
1362,3257,Epi.p-T,Epipactis palustris-type,0.005,1
1363,1418,Equae,Equisetaceae,0.005,1
1364,929,Equ,Equisetum,0.005,1
1365,1849,Ere,Eremurus,0.005,1
1366,280,Eri,Erica,0.005,1
1367,1471,Eri.r,Erica arborea,0.005,1
1368,1323,Eric.a-T,Erica arborea-type,0.005,1
1369,1321,Eri.a,Erica australis,0.005,1
1370,1406,Eri.a-T,Erica australis-type,0.005,1
1371,1497,Eri.cf.c,Erica cf. E. cinerea,0.005,1
1372,1025,Eri.cf.t,Erica cf. E. tetralix,0.005,1
1373,1968,Eri.c-T,Erica ciliaris-type,0.005,1
1374,1020,Eri.c,Erica cinerea,0.005,1
1375,1472,Eri.c.t,Erica cinerea/E. tetralix,0.005,1
1376,2960,Eri.e,Erica erigena,0.005,1
1377,1407,Eri.l,Erica lusitanica,0.005,1
1378,2864,Eri.m-T,Erica multiflora-type,0.005,1
1379,2961,Eri.p,Erica scoparia,0.005,1
1380,2668,Eri.s-T,Erica scoparia-type,0.005,1
1381,2700,Eri.s,Erica terminalis,0.005,1
1382,1026,Eri.t,Erica tetralix,0.005,1
1383,281,Eri.t-T,Erica tetralix-type,0.005,1
1384,1322,Eri.u,Erica umbellata,0.005,1
1385,1408,Eri.u-T,Erica umbellata-type,0.005,1
1386,2098,Erc.u,Erica undiff.,0.005,1
1387,3028,Eri-T,Erica-type,0.005,1
1388,282,Eriae,Ericaceae,0.005,1
1389,283,Eriae.ud,Ericaceae undiff.,0.005,1
1390,284,Eriae-T,Ericaceae-type,0.005,1
1391,285,Eria/Emp,Ericaceae/Empetrum,0.005,1
1392,286,Erl,Ericales,0.005,1
1393,287,Erl.t,Ericales (tetrads),0.005,1
1394,288,Erl.ud,Ericales undiff.,0.005,1
1395,2130,Erg,Erigeron,0.005,1
1396,2842,Eriocae,Eriocaulaceae,0.005,1
1397,289,Erc,Eriocaulon,0.005,1
1398,290,Erg-T,Eriogonum-type,0.005,1
1399,291,Erp,Eriophorum,0.005,1
1400,3591,Eri.a.v,Eriophorum angustifolium/E. vaginatum,0.005,1
1401,3592,Erio.s,Eriophorum scheuchzeri,0.005,1
1402,292,Erp-T,Eriophorum-type,0.005,1
1403,293,Ero,Erodium,0.005,1
1404,2729,Ery,Eryngium,0.005,1
1405,3222,Ery.c,Eryngium campestre,0.005,1
1406,3215,Ery.c-T,Eryngium campestre-type,0.005,1
1407,2648,Ery.i,Eryngium ilicifolium,0.005,1
1408,294,Ery-T,Eryngium-type,0.005,1
1409,1716,Eu-Rum.T,Eu-Rumex-type,0.005,1
1410,1510,Eua.cf.p,Euastrum cf. E. pectinatum,0.005,1
1411,295,Euc,Eucalyptus,0.005,1
1412,2602,Euc.c,Eucalyptus count,0.005,1
1413,1272,Eug,Euglypha,0.005,1
1414,2307,Eug.ud,Euglypha undiff.,0.005,1
1415,2189,Eun.sp,Eunotia sp.,0.005,1
1416,296,Euo,Euonymus,0.005,1
1417,297,Euo.e,Euonymus europaeus,0.005,1
1418,3072,Eut,Eupatorium,0.005,1
1419,1592,Eut-T,Eupatorium-type,0.005,1
1420,298,Eup,Euphorbia,0.005,1
1421,299,Eup.d,Euphorbia dendroides,0.005,1
1422,1499,Eup-T,Euphorbia-type,0.005,1
1423,300,Eupae,Euphorbiaceae,0.005,1
1424,301,Eur,Euphrasia,0.005,1
1425,2350,Eur-T,Euphrasia-type,0.005,1
1426,1675,Eu-Rum,Eurumex,0.005,1
1427,1754,Eva,Evax,0.005,1
1428,1184,Exo,Exotic grains,0.005,1
1429,3020,Fabae,Fabaceae,0.005,1
1430,3107,Fab.ud,Fabaceae undiff.,0.005,1
1431,3406,Fan,Fagonia,0.005,1
1432,3407,Fan-T,Fagonia-type,0.005,1
1433,302,Fgy,Fagopyrum,0.005,1
1434,1798,Fag.e,Fagopyrum esculentum,0.005,1
1435,3320,Fag.e-T,Fagopyrum esculentum-type,0.005,1
1436,1927,Fag.t,Fagopyrum tataricum,0.005,1
1437,3602,Fag.ud,Fagopyrum undiff.,0.005,1
1438,303,Fgy-T,Fagopyrum-type,0.005,1
1439,304,Fag,Fagus,0.005,1
1440,2496,Fag.o,Fagus orientalis,0.005,1
1441,305,Fag.s,Fagus sylvatica,0.005,1
1442,2962,Fal.v,Falcaria vulgaris,0.005,1
1443,3216,Fal.v-T,Falcaria vulgaris-type,0.005,1
1444,3497,Falc-T,Falcaria-type,0.005,1
1445,1724,Fal.c,Fallopia convolvulus,0.005,1
1446,2045,Fal.c-T,Fallopia convolvulus-type,0.005,1
1447,3410,Fal-T,Fallopia-type,0.005,1
1448,1297,Fer-T,Ferula-type,0.005,1
1449,3367,Fer/BunT,Ferula/Bunium-type,0.005,1
1450,306,Fes-T,Festuca-type,0.005,1
1451,2490,Fir,Ficaria,0.005,1
1452,307,Fic,Ficus,0.005,1
1453,1974,Fic.c,Ficus carica,0.005,1
1454,308,Fig-T,Filago-type,0.005,1
1455,3680,Files,Filicales,0.005,1
1456,3116,Fil.m,Filicales monolete,0.005,1
1457,2773,Filiciae,Filicinae,0.005,1
1458,930,Fil,Filicopsida,0.005,1
1459,932,Fil.m.ud,Filicopsida monolete undiff.,0.005,1
1460,931,Fil.t.ud,Filicopsida trilete undiff.,0.005,1
1461,933,Fil.ud,Filicopsida undiff.,0.005,1
1462,309,Flp,Filipendula,0.005,1
1463,3670,Fil.cf.u,Filipendula cf. F. ulmaria,0.005,1
1464,310,Flp.u,Filipendula ulmaria,0.005,1
1465,1091,Fil.v,Filipendula vulgaris,0.005,1
1466,2195,Fil-T,Filipendula-type,0.005,1
1467,2321,Fla-T,Flamula-type,0.005,1
1468,3511,Foe.v.v,Foeniculum vulgare ssp. vulgare,0.005,1
1469,2049,Fon,Fontanesia philliraeoides,0.005,1
1470,2401,Fos,Fossombronia,0.005,1
1471,2340,Fia,Fragaria,0.005,1
1472,311,Fga.v,Fragaria vesca,0.005,1
1473,312,Frg,Frangula,0.005,1
1474,313,Frg.a,Frangula alnus,0.005,1
1475,3306,Fra.a-T,Frangula alnus-type,0.005,1
1476,314,Fra,Frankenia,0.005,1
1477,1557,Fra.h-T,Frankenia hirsuta-type,0.005,1
1478,3384,Fra-T,Frankenia-type,0.005,1
1479,315,Frx,Fraxinus,0.005,1
1480,2789,Fra.a,Fraxinus angustifolia,0.005,1
1481,2666,Fra.a.So,Fraxinus angustifolia Subsp. oxycarpa,0.005,1
1482,2370,Fra.ao-T,Fraxinus angustifolia Subsp. oxycarpa-type,0.005,1
1483,316,Fra.e,Fraxinus excelsior,0.005,1
1484,317,Fra.e-T,Fraxinus excelsior-type,0.005,1
1485,318,Fra.o,Fraxinus ornus,0.005,1
1486,2601,Fra.ud,Fraxinus undiff.,0.005,1
1487,2963,Fra/Phy,Fraxinus/Phillyrea,0.005,1
1488,319,Fri,Fritillaria,0.005,1
1489,1324,Fri.l,Fritillaria lusitanica,0.005,1
1490,1975,Fri-T,Fritillaria-type,0.005,1
1491,2763,Fua,Fumana,0.005,1
1492,2964,Fum.e,Fumana ericoides,0.005,1
1493,2586,Fum-T,Fumana-type,0.005,1
1494,320,Fum,Fumaria,0.005,1
1495,3026,Fumae,Fumariaceae,0.005,1
1496,1088,Fun.h,Fungal Hyphae,0.005,1
1497,3175,Fun.rema,Fungal remains,0.005,1
1498,2678,Fang.spo,Fungal spore,0.005,1
1499,988,Fun.s.ud,Fungal spore undiff.,0.005,1
1500,3065,Fun.s,Fungal spores,0.005,1
1501,2285,Fun.u,Fungi undiff.,0.005,1
1502,2892,Fus,Fusiformisporites,0.005,1
1503,2286,Gae.cf.c,Gaeumannomyces cf. caricis,0.005,1
1504,321,Gag.l-T,Gagea lutea-type,0.005,1
1505,322,Gag.p-T,Gagea pratensis-type,0.005,1
1506,2790,Gag.s,Gagea soleirolii,0.005,1
1507,1850,Gag-T,Gagea-type,0.005,1
1508,3258,Gag/Tul,Gagea/Tulipa,0.005,1
1509,2374,Gat,Galanthus,0.005,1
1510,2730,Gat-T,Galanthus-type,0.005,1
1511,2766,Gaa-T,Galega-type,0.005,1
1512,2175,Gap,Galeopsis,0.005,1
1513,323,Geo-T,Galeopsis-type,0.005,1
1514,324,Gal,Galium,0.005,1
1515,2883,Gal.a,Galium aparine,0.005,1
1516,2693,Gal.b,Galium boreale,0.005,1
1517,2342,Gal.p,Galium palustre,0.005,1
1518,2694,Gal.v,Galium verum,0.005,1
1519,325,Gal-T,Galium-type,0.005,1
1520,1679,Gel,Gelasinospora,0.005,1
1521,2287,Gel.r,Gelasinospora retialispora,0.005,1
1522,2306,Gel.ud,Gelasinospora undiff.,0.005,1
1523,1352,Ges,Genista,0.005,1
1524,326,Gei-T,Genista-type,0.005,1
1525,3673,Gen/CytT,Genista/Cytisus-type,0.005,1
1526,2657,Gen/Ule,Genista/Ulex,0.005,1
1527,327,Gen,Gentiana,0.005,1
1528,2002,Gen.s-T,Gentiana asclepiadea-type,0.005,1
1529,328,Gen.cf.p,Gentiana cf. G. pneumonanthe,0.005,1
1530,1517,Gen.cf.v,Gentiana cf. G. verna,0.005,1
1531,2284,Gen.r-T,Gentiana cruciata-type,0.005,1
1532,2204,Gen.l,Gentiana lutea,0.005,1
1533,1325,Gen.l/p,Gentiana lutea/G. pneumonanthe,0.005,1
1534,2791,Gen.l/Pn,Gentiana lutea/Pneumonanthe,0.005,1
1535,329,Gen.n,Gentiana nivalis,0.005,1
1536,330,Gen.n-T,Gentiana nivalis-type,0.005,1
1537,1938,Gen.o-T,Gentiana olivieri-type,0.005,1
1538,331,Gen.p,Gentiana pneumonanthe,0.005,1
1539,332,Gen.x-T,Gentiana pneumonanthe-type,0.005,1
1540,2351,Gen.a,Gentiana punctata,0.005,1
