,pvar,pvarcode,pvarname,cutoff,use
215,3019,Apiae,Apiaceae,0.005,1
216,3142,Api.cf.B,Apiaceae cf. Berula erecta,0.005,1
217,3030,Api.ud,Apiaceae undiff.,0.005,1
218,53,Api,Apium,0.005,1
219,2178,Api.i-T,Apium inundatum-type,0.005,1
220,1155,Api.n,Apium nodiflorum,0.005,1
221,1156,Api-T,Apium-type,0.005,1
222,2507,Apoceae,Apocynaceae,0.005,1
223,1315,Aqu,Aquilegia,0.005,1
224,1566,Aqi,Aquilegia-type,0.005,1
225,2418,Ais,Arabidopsis,0.005,1
226,2112,Aba-T,Arabidopsis-type,0.005,1
227,1807,Arae,Araceae,0.005,1
228,54,Arb,Arbutus,0.005,1
229,1318,Arb.u,Arbutus unedo,0.005,1
230,2193,Arl,Arcella,0.005,1
231,2915,Arce.a,Arcella artocrea,0.005,1
232,2916,Arce.c,Arcella catinus,0.005,1
233,2164,Arc.d,Arcella discoides,0.005,1
234,2917,Arce.g,Arcella gibbosa,0.005,1
235,2172,Arc.s,Arcella sp.,0.005,1
236,3675,Arc-T,Arcella-type,0.005,1
237,3369,Arceu,Arceuthobium,0.005,1
238,1597,Arc.o,Arceuthobium oxycedri,0.005,1
239,55,Act,Arctium,0.005,1
240,1045,Arc.cf.m,Arctium cf. A. minus,0.005,1
241,2997,Arc.l,Arctium lappa,0.005,1
242,56,Act-T,Arctium-type,0.005,1
243,1745,Arc/Jur,Arctium/Jurinea,0.005,1
244,1157,Arc,Arctostaphylos,0.005,1
245,57,Arc.a,Arctostaphylos alpinus,0.005,1
246,1158,Arc.ud,Arctostaphylos undiff.,0.005,1
247,58,Arc.u,Arctostaphylos uva-ursi,0.005,1
248,1715,Arc.uu-T,Arctostaphylos uva-ursi-type,0.005,1
249,2782,Are,Arenaria,0.005,1
250,3589,Are.b,Arenaria biflora,0.005,1
251,3421,Are.s-T,Arenaria serpyllifolia-type,0.005,1
252,59,Are-T,Arenaria-type,0.005,1
253,1518,Are-T.sl,Arenaria-type s.l.,0.005,1
254,1086,Are/Sil,Arenaria/Silene,0.005,1
255,2651,Arg.s,Argania spinosa,0.005,1
256,1888,Ari,Aristolochia,0.005,1
257,3278,Ari.p-T,Aristolochia paucinervis-type,0.005,1
258,2500,Aristeae,Aristolochiaceae,0.005,1
259,60,Arm,Armeria,0.005,1
260,61,Arm.TA,Armeria (type A),0.005,1
261,62,Arm.TB,Armeria (type B),0.005,1
262,2665,Arm.a,Armeria alliacea,0.005,1
263,63,Arm.m,Armeria maritima,0.005,1
264,1159,Arm.m-TA,Armeria maritima (type A),0.005,1
265,1018,Arm.m.TB,Armeria maritima (type B),0.005,1
266,2238,Arm.Sb.e,Armeria maritima Subsp. elongata,0.005,1
267,2635,Arm.m.Sm,Armeria maritima Subsp. maritima,0.005,1
268,64,Arm.m-T,Armeria maritima-type,0.005,1
269,65,Arm-T,Armeria-type,0.005,1
270,1040,Arm/Lim,Armeria/Limonium,0.005,1
271,3288,Arm/LimT,Armeria/Limonium-type,0.005,1
272,2362,Ara,Arnebia,0.005,1
273,1549,Arn-T,Arnebia-type,0.005,1
274,2207,Arn,Arnica,0.005,1
275,2202,Arn.m,Arnica montana,0.005,1
276,3445,Arni-T,Arnica-type,0.005,1
277,66,Art,Artemisia,0.005,1
278,1513,Art-T.A,Artemisia (Type A),0.005,1
279,1514,Art-T.B,Artemisia (Type B),0.005,1
280,1515,Art-T.C,Artemisia (Type C),0.005,1
281,1516,Art-T.D,Artemisia (Type D),0.005,1
282,1665,Art-T.F,Artemisia (Type F),0.005,1
283,3537,Art.c,Artemisia campestris,0.005,1
284,1385,Art.c-T,Artemisia campestris-type,0.005,1
285,67,Art.cf.n,Artemisia cf. A. norvegica,0.005,1
286,68,Art.cf.A,Artemisia cf. A. norvegica (type1),0.005,1
287,69,Art.cf.B,Artemisia cf. A. norvegica (type2),0.005,1
288,3569,Art.g.m,Artemisia genipii/A. mutellina,0.005,1
289,1923,Art.h.a,Artemisia herba-alba,0.005,1
290,1554,Art.ha-T,Artemisia herba-alba-type,0.005,1
291,70,Art.n,Artemisia norvegica,0.005,1
292,1377,Art.n-T,Artemisia norvegica-type,0.005,1
293,1580,Art.r,Artemisia rupestris,0.005,1
294,2100,Art.sl,Artemisia sl.,0.005,1
295,2099,Art.ss,Artemisia ss,0.005,1
296,71,Art.ud,Artemisia undiff.,0.005,1
297,2120,Art.v,Artemisia vulgaris,0.005,1
298,72,Art.v-T,Artemisia vulgaris-type,0.005,1
299,73,Art-T,Artemisia-type,0.005,1
300,2277,Aro,Arthrodesmus,0.005,1
301,2024,Aru/Aco,Arum/Acorus,0.005,1
302,2078,Auc,Aruncus,0.005,1
303,74,Aru,Aruncus dioicus,0.005,1
304,2913,Aru-T,Aruncus-type,0.005,1
305,2006,Asa.e,Asarum europaeum,0.005,1
306,75,Ascae,Asclepiadaceae,0.005,1
307,76,Asp,Asparagus,0.005,1
308,3256,Apa.a,Asparagus acutifolius,0.005,1
309,77,Asp-T,Asparagus-type,0.005,1
310,3687,Aspe,Asperula,0.005,1
311,1570,Apr-T,Asperula-type,0.005,1
312,1795,Apn,Asphodeline,0.005,1
313,78,Aph,Asphodelus,0.005,1
314,1319,Asp.a,Asphodelus albus,0.005,1
315,1810,Asp.a-T,Asphodelus albus-type,0.005,1
316,2874,Asp.f,Asphodelus fistulosus,0.005,1
317,2104,Asp.f-T,Asphodelus fistulosus-type,0.005,1
318,1640,Adl-T,Asphodelus-type,0.005,1
319,1484,Asp/Asp,Asphodelus/Asphodeline,0.005,1
320,1656,Apl,Asplenium,0.005,1
321,3313,Asp.t,Asplenium trichomanes,0.005,1
322,2564,Asp.v,Asplenium viride,0.005,1
323,903,Apl-T,Asplenium-type,0.005,1
324,3312,Asp-T.ud,Asplenium-type undiff.,0.005,1
325,1508,Ass,Assulina,0.005,1
326,1636,Ass.m,Assulina muscorum,0.005,1
327,1740,Ass.s,Assulina seminulum,0.005,1
328,3684,Ass-T,Assulina-type,0.005,1
329,79,Ast,Aster,0.005,1
330,3580,Ast.b,Aster bellidiastrum,0.005,1
331,80,Ast-T,Aster-type,0.005,1
332,1307,Ast/Ach,Aster/Achillea,0.005,1
333,3190,Astae,Asteraceae,0.005,1
334,3212,Astae.ud,Asteraceae undiff.,0.005,1
335,3017,Astoid,Asteroideae,0.005,1
336,81,Asg,Astragalus,0.005,1
337,82,Asg.a,Astragalus alpinus,0.005,1
338,1138,Ast.a-T,Astragalus alpinus-type,0.005,1
339,1367,Ast.cf.a,Astragalus cf. A. alpinus,0.005,1
340,1044,Ast.cf.g,Astragalus cf. A. glycyphyllos,0.005,1
341,1666,Ast.d-T,Astragalus danicus-type,0.005,1
342,3242,Ast.d,Astragalus depressus,0.005,1
343,83,Asg.f,Astragalus frigidus,0.005,1
344,2936,Ast.l-T,Astragalus lusitanicus-type,0.005,1
345,1737,Ast.o-T,Astragalus oxytropis-type,0.005,1
346,84,Asg.p,Astragalus penduliflorus,0.005,1
347,85,Asg.ud,Astragalus undiff.,0.005,1
348,86,Asg-T,Astragalus-type,0.005,1
349,2677,Ast/Oxy,Astragalus/Oxytropis,0.005,1
350,2147,Asr,Astrantia,0.005,1
351,3191,Ast.ma,Astrantia major,0.005,1
352,2725,Ast.m-T,Astrantia major-type,0.005,1
353,3554,Ast.mi,Astrantia minor,0.005,1
354,1998,Asr-T,Astrantia-type,0.005,1
355,2320,Aus-T,Astrantus-type,0.005,1
356,3504,Ath.c,Athamanta cretensis,0.005,1
357,1249,Ath,Athyrium,0.005,1
358,1466,Ath.a-T,Athyrium alpestre-type,0.005,1
359,2498,Ath.d,Athyrium distentifolium,0.005,1
360,1160,Ath.d-T,Athyrium distentifolium-type,0.005,1
361,904,Ath.f,Athyrium filix-femina,0.005,1
362,1485,Ath/Woo,Athyrium/Woodsia,0.005,1
363,2869,Atc,Atractylis,0.005,1
364,2404,Atr.c,Atractylis cancellata,0.005,1
365,1936,Ara-T,Atractylis-type,0.005,1
366,1564,Ata,Atraphaxis,0.005,1
367,3390,Ata-T,Atraphaxis-type,0.005,1
368,1239,Atp,Atriplex,0.005,1
369,2544,Atr.h,Atriplex hastata,0.005,1
370,2545,Atr.k,Atriplex kuzenevae,0.005,1
371,2543,Atr.n,Atriplex nudicaulis,0.005,1
372,2547,Atr.p,Atriplex praecox,0.005,1
373,2546,Atr.s,Atriplex sagittata,0.005,1
